"Timestamp","Have you or have you ever been a user of ServiceM8","Please enter your age","Please select what your job role is","How many employees does the company have?","How tech savvy would you rate yourself?","How long have you used ServiceM8?","On the scale please rate how many of the features of the application you would use","Thinking back to the first time you used ServiceM8 how easy did you find it to use?","After using it for a while how do you now rate it on ease of use?","How would you rate Creation of jobs?","How would you rate Scheduling jobs?","How would you rate job enquiries/searching for created jobs?","How would you rate Job Completion tasks including entering all materials and invoicing?","What do you think of the features included in ServiceM8 application?","Do you think there should be a different version with limited features depending on what is needed? ","Has there ever been an incident where a change was made unknowingly impacting the database within your account?","Is your personal phone apple iOS?","Would you like to see ServiceM8 released on Android even if it was limited features?","Any further comments regarding the application or the survey can be added below thank you again."
"2021/01/03 2:51:08 pm GMT+11","Yes","20-30","Works in the field/tradesman","5 or more","4","more than 5 years","7","2","4","4","5","3","3","Too many","Yes","Yes","No","Yes",""
"2021/01/03 2:53:50 pm GMT+11","No","","","","","","","","","","","","","","","","","",""
"2021/01/03 2:57:38 pm GMT+11","Yes","30-40","Boss/Foreman","5 or more","4","more than 5 years","7","2","4","4","5","4","4","Good amount","Yes","Yes","Yes","Yes",""
"2021/01/03 3:18:00 pm GMT+11","Yes","16-20","Works in the field/tradesman","2-4","3","less than 1 year","3","1","2","2","2","2","2","Too many","Yes","Unsure","No","Yes",""
"2021/01/03 3:20:19 pm GMT+11","Yes","30-40","Boss/Foreman","2-4","3","1-5 years","6","2","3","4","5","4","3","Good amount","Yes","Yes","No","Yes","Wish i didnt have to use this"
"2021/01/03 3:21:39 pm GMT+11","Yes","20-30","Boss/Foreman","1","4","1-5 years","9","3","5","5","5","4","5","Good amount","No","No","Yes","Yes",""
"2021/01/03 3:22:52 pm GMT+11","Yes","40-50","Works in the field/tradesman","5 or more","2","1-5 years","6","3","3","4","4","3","2","Good amount","Yes","Unsure","No","Yes",""
"2021/01/03 3:25:03 pm GMT+11","Yes","16-20","Works in the field/tradesman","5 or more","4","1-5 years","5","3","4","3","3","4","2","No opinion","Maybe","Unsure","Yes","Yes",""
"2021/01/03 3:28:20 pm GMT+11","Yes","30-40","Works in the field/tradesman","5 or more","4","1-5 years","7","3","5","5","5","5","4","Good amount","No","No","Yes","Yes",""
"2021/01/03 3:29:28 pm GMT+11","Yes","40-50","Boss/Foreman","2-4","4","1-5 years","9","3","5","5","5","4","4","Good amount","Maybe","No","Yes, but making change","Yes",""
"2021/01/03 3:30:43 pm GMT+11","Yes","16-20","Office Worker","5 or more","4","less than 1 year","7","2","4","5","5","4","3","Good amount","Maybe","Unsure","Yes","Yes",""
"2021/01/03 3:33:09 pm GMT+11","Yes","20-30","Works in the field/tradesman","2-4","5","1-5 years","6","3","4","4","5","4","3","No opinion","Maybe","Unsure","No","Yes",""
"2021/01/03 3:34:23 pm GMT+11","Yes","40-50","Works in the field/tradesman","5 or more","3","1-5 years","5","3","4","4","5","3","4","Good amount","Yes","Yes","No","Yes",""
"2021/01/03 3:35:26 pm GMT+11","Yes","30-40","Works in the field/tradesman","5 or more","5","more than 5 years","9","3","5","5","5","4","4","Good amount","Yes","Yes","No","Yes",""
"2021/01/03 3:48:16 pm GMT+11","Yes","30-40","Boss/Foreman","2-4","3","less than 1 year","7","3","3","4","5","3","2","Good amount","Maybe","No","Yes, but making change","Yes","Set up business started to use this app but making phone change now and thinking might have to change because it has no android version apart from that still learning features and setting up but unsure if i will have to find something else"
